Symbol,Price to Earnings,Earnings Per Share,Dept to Equity,Price to Book,Price to 52W Range
AEFES,17.88,1.72,94.99,1.07,0.65
AKBNK,4.38,1.18,158.5,0.57,0.2
AKSA,11.65,1.36,101.82,2.52,0.79
AKSEN,16.24,0.77,69.83,1.08,0.91
AKSGY,8.0,-0.52,67.53,0.54,0.11
ALARK,5.37,1.71,9.62,1.63,0.66
ALBRK,7.23,-0.01,289.39,0.63,0.26
ALGYO,3.97,3.66,0.35,0.89,0.56
ALKIM,12.46,1.32,9.48,4.48,0.51
ARCLK,6.01,4.35,123.55,1.49,0.8
ASELS,7.2,1.95,26.1,2.33,0.27
BERA,29.89,0.71,48.03,2.89,0.93
BIMAS,15.01,4.31,85.1,6.33,0.52
BRISA,9.77,1.9,220.08,4.23,0.62
BRSAN,8.0,-0.04,80.25,1.11,0.56
BUCIM,21.32,0.18,12.6,3.19,0.55
CCOLA,17.12,5.1,80.4,2.18,0.91
CIMSA,18.45,1.3,98.76,1.52,0.86
DEVA,9.67,3.21,65.49,2.95,0.81
DOAS,5.2,5.24,104.37,2.49,0.58
DOHOL,5.6,0.5,34.34,0.95,0.49
ECILC,11.59,0.45,3.17,0.97,0.41
EGEEN,16.54,83.76,16.25,7.85,0.61
EGGUB,21.15,10.22,70.97,4.76,0.75
EKGYO,8.06,0.23,35.77,0.54,0.41
ENJSA,11.33,0.91,136.47,2.07,0.46
EREGL,11.9,0.92,16.57,1.27,0.97
FROTO,11.86,11.95,114.72,6.28,0.65
GARAN,4.87,1.58,99.17,0.7,0.32
GOODY,10.62,0.56,4.98,2.15,0.54
GOZDE,1.43,4.45,51.54,0.78,0.52
GSDHO,13.17,0.13,31.52,0.59,0.19
GUBRF,78.19,0.78,151.7,26.61,0.63
HALKB,1.99,1.85,438.76,0.32,0.07
HEKTS,40.0,0.23,150.91,6.23,0.87
HLGYO,8.72,0.14,16.44,1.03,0.55
IHLAS,8.0,-0.02,91.85,1.84,0.08
IHLGM,194.34,0.0,7.85,1.46,0.15
INDES,11.36,0.64,155.48,1.93,0.76
IPEKE,7.56,1.49,0.33,2.3,0.45
ISCTR,8.0,1.31,253.66,0.49,0.22
ISFIN,7.92,0.28,652.52,1.56,0.24
ISGYO,6.13,0.08,24.52,0.59,0.21
ISMEN,4.98,2.65,54.27,3.28,0.7
JANTS,42.22,0.21,18.32,9.85,0.64
KARSN,173.45,0.03,209.05,3.99,0.56
KARTN,32.89,1.83,1.49,12.49,0.37
KCHOL,8.26,4.04,392.32,1.16,0.44
KERVT,8.39,0.63,104.81,3.61,0.32
KONYA,244.74,3.53,5.06,14.98,0.44
KORDS,29.02,1.1,115.42,1.17,0.59
KOZAA,6.65,1.91,0.43,1.68,0.42
KOZAL,10.88,11.93,0.19,1.95,0.69
KRDMD,143.97,0.01,57.64,1.53,0.99
KRVGD,8.0,0.79,37.26,2.98,0.71
MPARK,74.72,0.24,866.82,14.64,0.75
NETAS,8.0,-1.01,100.14,3.11,0.53
NTHOL,8.0,-1.43,53.37,0.29,0.92
NUHCM,14.25,3.89,18.03,4.11,0.74
ODAS,8.0,-0.46,278.42,2.94,0.27
OTKAR,11.33,25.51,184.1,7.59,0.62
OYAKC,25.69,0.28,36.53,4.46,0.35
PARSN,18.91,1.62,116.44,1.82,0.6
PETKM,15.21,0.38,133.69,1.66,0.86
PGSUS,8.0,-17.64,352.96,1.42,0.76
POLHO,14.98,0.15,36.76,1.67,0.29
SAHOL,3.71,2.34,282.26,0.61,0.29
SASA,109.26,0.28,204.62,5.77,0.83
SELEC,10.37,0.94,78.2,2.38,0.2
SISE,6.87,0.52,77.24,1.01,0.82
SKBNK,10.92,0.15,185.38,1.03,0.36
SOKM,26.99,0.49,963.09,30.51,0.4
TATGD,13.46,1.23,43.0,2.29,0.37
TAVHL,8.0,-5.75,144.43,0.93,0.66
TCELL,7.41,1.95,103.86,1.69,0.46
THYAO,8.0,-3.96,310.35,0.45,0.66
TKFEN,19.52,-0.14,41.16,1.07,0.5
TOASO,6.96,3.58,149.71,3.8,0.43
TRGYO,11.71,-0.19,52.76,0.44,0.36
TSKB,5.07,0.29,709.25,0.82,0.18
TTKOM,7.35,0.89,175.33,2.48,0.22
TTRAK,10.65,14.59,89.81,6.77,0.75
TUKAS,14.96,0.46,111.34,4.82,0.04
TUPRS,8.0,-6.74,252.55,2.36,0.57
TURSG,6.1,1.05,0.29,2.21,0.54
ULKER,7.56,2.31,164.89,1.39,0.33
VAKBN,1.73,1.66,393.79,0.42,0.06
VERUS,27.96,0.79,7.8,6.48,0.66
VESTL,5.54,5.67,124.65,1.0,0.62
YATAS,14.31,1.18,102.17,3.94,0.91
YKBNK,3.33,0.6,273.81,0.55,0.13
ZOREN,55.83,-0.07,608.93,2.27,0.41
